Vietnamese,Korean,Vietnamese_Sentence,Korean_Sentence,tts_url,images_url
người,사람,Người Việt Nam rất thân thiện,베트남 사람들은 매우 친절해요.,https://r2.sangsang.vip/mp3/b4736118610b932a2b0b275eecf93bda.mp3,https://r2.sangsang.vip/images/Người_Việt_Nam_rất_thân_thiện.png
nhà,집,Nhà tôi ở gần công ty,우리 집은 회사 근처에 있어요.,https://r2.sangsang.vip/mp3/0f308c598b87dac27ad9485d69fb808d.mp3,https://r2.sangsang.vip/images/Nhà_tôi_ở_gần_công_ty.png
tôi,나,Tôi là học sinh,저는 학생입니다.,https://r2.sangsang.vip/mp3/5d1cb1b8c6088ef8ba55412916cd8e0d.mp3,https://r2.sangsang.vip/images/Tôi_là_học_sinh.png
bạn,친구,Bạn có khỏe không?,잘 지내세요?,https://r2.sangsang.vip/mp3/f32540e4c8ab62b73f3718aacd39da71.mp3,https://r2.sangsang.vip/images/Bạn_có_khỏe_không.png
cái,것 (사물을 세는 단위),Cái này là cái gì,이것은 무엇입니까?,https://r2.sangsang.vip/mp3/ca32a6e7a3e2bc11e681e1f164a36ecd.mp3,https://r2.sangsang.vip/images/Cái_này_là_cái_gì.png
năm,년,Năm nay là năm 2025,올해는 2025년입니다.,https://r2.sangsang.vip/mp3/ea355d56a3cf3138d41620216feb8af1.mp3,https://r2.sangsang.vip/images/Năm_nay_là_năm_2025.png
ngày,날/일,Hôm nay là ngày mấy?,오늘은 며칠입니까?,https://r2.sangsang.vip/mp3/2971f39729680f58ac0ad753adfef851.mp3,https://r2.sangsang.vip/images/Hôm_nay_là_ngày_mấy.png
tháng,달/월,Tháng này là tháng 9,이번 달은 9월입니다.,https://r2.sangsang.vip/mp3/561f5aee3ba1130ec879cbf679a419f3.mp3,https://r2.sangsang.vip/images/Tháng_này_là_tháng_9.png
việc,일,Tôi có nhiều việc phải làm,저는 할 일이 많아요.,https://r2.sangsang.vip/mp3/b50abb83e4fe32f96a3e0e5ac5318610.mp3,https://r2.sangsang.vip/images/Tôi_có_nhiều_việc_phải_làm.png
tiền,돈,Anh ấy có nhiều tiền,그는 돈이 많아요.,https://r2.sangsang.vip/mp3/df15d8765b5c35bb6a41b7b8ddf5ac56.mp3,https://r2.sangsang.vip/images/Anh_ấy_có_nhiều_tiền.png
nước,나라/물,Tôi muốn uống nước,저는 물을 마시고 싶어요.,https://r2.sangsang.vip/mp3/bb44f2d1fa914fbb9fb31eff641be7d8.mp3,https://r2.sangsang.vip/images/Tôi_muốn_uống_nước.png
xe,차,Tôi đi làm bằng xe máy,저는 오토바이를 타고 출근해요.,https://r2.sangsang.vip/mp3/71e6e1c899328a60ff62ec303817f4d1.mp3,https://r2.sangsang.vip/images/Tôi_đi_làm_bằng_xe_máy.png
trường,학교,Em trai tôi đang học ở trường,제 남동생은 학교에서 공부하고 있어요.,https://r2.sangsang.vip/mp3/187b30a1433a5e76b6f830769f193393.mp3,https://r2.sangsang.vip/images/Em_trai_tôi_đang_học_ở_trường.png
sách,책,Tôi thích đọc sách,저는 책 읽는 것을 좋아해요.,https://r2.sangsang.vip/mp3/edfd24e1f67b1e0740a6da6e249a3504.mp3,https://r2.sangsang.vip/images/Tôi_thích_đọc_sách.png
tên,이름,Tên bạn là gì?,이름이 뭐예요?,https://r2.sangsang.vip/mp3/b84e887394d18c0cf3a256f53cfd855b.mp3,https://r2.sangsang.vip/images/Tên_bạn_là_gì.png
mẹ,엄마,Mẹ tôi là giáo viên,우리 엄마는 선생님이에요.,https://r2.sangsang.vip/mp3/9d2572ae07daab1f080995f5de30e676.mp3,https://r2.sangsang.vip/images/Mẹ_tôi_là_giáo_viên.png
bố,아빠,Bố tôi đang đọc báo,우리 아빠는 신문을 읽고 계세요.,https://r2.sangsang.vip/mp3/cd686fbab302e83e0af6adeec55ce594.mp3,https://r2.sangsang.vip/images/Bố_tôi_đang_đọc_báo.png
con,자녀/동물(세는 단위),Con đang làm gì?,"얘야 뭐하고 있니?",https://r2.sangsang.vip/mp3/496bf496bec1c0ee60fdb960527e2def.mp3,https://r2.sangsang.vip/images/Con_đang_làm_gì.png
chó,개,Con chó này rất thông minh,이 개는 매우 똑똑해요.,https://r2.sangsang.vip/mp3/39c7b0566c68fa9679b3a75a34a8614b.mp3,https://r2.sangsang.vip/images/Con_chó_này_rất_thông_minh.png
mèo,고양이,Con mèo đang ngủ,고양이가 자고 있어요.,https://r2.sangsang.vip/mp3/ef0c606d1fc85f47da9799aae7517d97.mp3,https://r2.sangsang.vip/images/Con_mèo_đang_ngủ.png
gạo,쌀,Việt Nam là nước xuất khẩu gạo,베트남은 쌀 수출국입니다.,https://r2.sangsang.vip/mp3/c84c5e2b18141ac3623ca2fc9fee2395.mp3,https://r2.sangsang.vip/images/Việt_Nam_là_nước_xuất_khẩu_gạo.png
phở,쌀국수,Tôi rất thích ăn phở,저는 쌀국수를 정말 좋아해요.,https://r2.sangsang.vip/mp3/7801e4a88edd2919ed6b8c38326b8775.mp3,https://r2.sangsang.vip/images/Tôi_rất_thích_ăn_phở.png
cơm,밥,Bữa trưa tôi ăn cơm,점심으로 밥을 먹었어요.,https://r2.sangsang.vip/mp3/38dc587cb969d48f1201a14fe51695e6.mp3,https://r2.sangsang.vip/images/Bữa_trưa_tôi_ăn_cơm.png
cà phê,커피,Buổi sáng tôi hay uống cà phê,아침에 저는 보통 커피를 마셔요.,https://r2.sangsang.vip/mp3/36a442d709fd2fd5c45ce5c22fb36ce7.mp3,https://r2.sangsang.vip/images/Buổi_sáng_tôi_hay_uống_cà_phê.png
áo,옷/윗옷,Cái áo này đẹp quá,이 옷 정말 예쁘네요.,https://r2.sangsang.vip/mp3/6c0b2cdbd9738c56c03f6a976c5f16b2.mp3,https://r2.sangsang.vip/images/Cái_áo_này_đẹp_quá.png
quần,바지,Tôi cần mua một cái quần mới,새 바지를 사야 해요.,https://r2.sangsang.vip/mp3/629bfb659b2807c30372ed0c0203afee.mp3,https://r2.sangsang.vip/images/Tôi_cần_mua_một_cái_quần_mới.png
